Index,name,rating,comment,review.date,country,Year,Month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,na,9.4,I found this hostel really nice. I would recommend anyone to stay here. Very secure and very clean with friendly staff so couldn’t ask for anymore.,09-Jun-19,"Australia, ",2019,Jun,0,1,0,0,3,0,0,4,0,4
2,Anonymous,10,"lovely hostel in a perfect location, easy access to the airport bus & walking distance to all amenities. it was under construction while i was there which wasn’t an issue at all & was well described. once the renovations are done this will be absolutely top of the line! love the pod style beds, offers tons of privacy. wasn’t as rowdy as i thought it could be but i also might’ve lucked out. would gladly return!",07-Jun-19,"USA, ",2019,Jun,0,5,0,0,3,1,1,3,1,4
3,Anonymous,10,"I loved the new pod style bunks, allows for more personal privacy. I also liked how each pod had their own charging station instead of having to alternate with the fellow roommates for an outlet. Location was PERFECT for me, I did not have to haul my luggage far to the train station. If you like to save money by walking all over the place, the hostel was conveniently located near the city center where all things happen. I would stay at the location again before my next flight. Great facility.",04-Jun-19,"USA, ",2019,Jun,1,3,0,0,3,0,1,6,0,5
4,Anonymous,9.7,Unfortunately there's no microwave oven,Property Reply,"Netherlands, ",2019,Jul,0,0,0,0,0,0,0,0,0,0
5,sassa_leite9463,10,"Best hostel I’ve ever stayed! They are currently doing a reformation and the rooms are so clean and modern, it’s perfect. The pods allow silence and privacy in a way that I’ve never experienced in a hostel. Amazing, I would definitely recommend and I would most certain stay with them again if I ever come back to Dublin.",Property Reply,"Brazil, ",2019,Aug,0,1,0,0,2,0,0,4,0,5
6,jon_dc822524,9.7,This was my first visit to a hostel and Jacobs Inn was brilliant. The location was ideal with it being a short walk from the bars and sites of Dublin. The facilities were all clean and the new pods in the dorms were more comfortable than I was expecting. The staff were helpful and friendly too.,Property Reply,"England, ",2019,Sep,0,3,0,0,4,0,0,4,0,5
7,Anonymous,10,"With the pods, you get a lot of privacy unlike other hostels. However, it's easy to not interact with others so if you're more of a social traveler, this may not be the place for you. Very clean ensuite washroom. Frustrating that some of the facilities were closed but that's just a temporary things with current renovations. Location is great, walking distance from most things.",Property Reply,"Canada, ",2019,Oct,0,0,0,0,1,0,0,1,0,1
8,vadimdediu9574,8,"The deluxe rooms give you your own pod to sleep in, its very private. Better than bunkbeds. Strongly Recomend.",Property Reply,"Ireland, ",2019,Nov,0,0,0,0,0,0,0,0,0,1
9,tahir121pk9960,9.7,"like the capsule idea, feel kind of privacy... locker are good,",Property Reply,"Ireland, ",2019,Dec,0,1,0,0,2,0,1,2,0,2
10,Anonymous,9.4,"Great location, helpful staff, lean rooms. A place i’d definitely biok aby time i’m In Dublin!! My favorite trait: location, location, location!",Property Reply,"USA, ",2019,Jan,0,1,0,0,2,0,0,2,0,2
11,kennpreb723,8.3,"The rooms were nice, I liked the privacy of what I’ll call the cubby-hole bunks. The drawback was that the place was under construction and their self-catering kitchen was closed. This place will probably be much nicer once all the construction is done.",29-May-19,"USA, ",2019,May,0,0,0,0,0,0,0,0,1,0
12,maciejsbielen3601,9.1,"I stayed here for 4 nights. Loved the pods in the rooms! Very different from bunk beds. The pods felt like little private rooms with usb chargers, a shelf, and a lamp inside. The location was awesome, 5-15 minute walks away from everything you’d want to see in Dublin. The staff was amazing and always helpful. Only downside was the lobby and kitchen being under construction. This left very little room or opportunities to hangout with others staying in the hostel. Would stay here again.",Property Reply,"USA, ",2019,June,0,0,0,0,1,0,0,1,0,1
13,Anonymous,10,"It is a very pleasant hostel. I really like capsules due to privacy. It is not far from the old city center. 3 min. walking is the Dublin Connolly railway station (connections to Belfast, Rosslare and local trains, city aiport bus, harbour bus, trams), Hostel staff is nice and helpful. Beds, bathrooms very clean and modern.",26-May-19,"Slovakia, ",2019,May,0,1,0,0,3,0,1,4,0,4
14,cepcion7871,8,"I was staying in what seemed to be their newly renovated areas. The capsule beds are comfy and feature some great features, like personal lights and plenty of charging/USB ports.
 
 One weakness is the room doors and hallway noise. Whatever latch system they use seems to close quietly 90% of the way, then SLAM closed. A good amount of hallway noise is audible so these two factors may detract light sleepers.",23-May-19,"Canada, ",2019,May,2,1,0,1, ,0,2,3,4,2
15,Anonymous,8,I really like the set up for beds. The most privacy I've had in any hostel. I also love the locking storage for every bed. The neighborhood is a little rough but very convenient. There was construction going on when I arrived at 0600 on a Friday and trains on the back side of the building. I was in the back; the noise wasnt bad. The breakfast is normal faire for hostels. The worst thing is lack of toilets/showers. We had one toilet/shower for 12 beds.,Property Reply,"USA, ",2019,May,1,1,1,1,1,1,0,0,3,4
16,jenniferdaly7771058,8.9,"Lovely hostel, only downside was it was way too hot to sleep comfortably",Property Reply,"Ireland, ",2019,May,1,1,0,0,1,1,1,1,0,1
17,hillierljennifer6844,10,"Even in the midst of a renovation, Jacobs Inn staff were very helpful and friendly. Renovation is turning the hostel quite modern - pod beds are private enough with a personal light and power outlet, and lockers big enough to house a small carry on suitcase (just ask for a bed that has a bigger locker). It was perfect! Overall great!",Property Reply,"Canada, ",2019,Apr,0,3,0,0,4,0,0,4,1,4
18,philnew216728,4.9,The dorm I was staying in had no heating was freezing every night. Management didn't care. No kitchen laundry service due to renovations. Shocking to pay what I paid for 3 nights. Not value for money....,Property Reply,"Ireland, ",2019,Apr,1,2,0,0,2,0,1,3,1,3
19,Anonymous,9.1,"Very clean and in a handy location next to the LUAS, Busaras and Connolly station. The main downside is the large groups of school children staying there who basically take over.",Property Reply,"England, ",2019,Apr,0,0,0,0,1,0,0,2,0,3
20,Anonymous,8.3,"My stay was OK. There is a lot of construction, though this only inconvenienced me when getting to my room. What I didn’t care for was having large numbers of *very* young travelers that often took up much of the common space and were quite loud. I also was given a bed where the under the bed locker could not fully roll out without hitting another bed, which made it difficult to store anything. Lastly, the location wasn’t as central as I realized. Staff was great, as was cleanliness!",Property Reply,"USA, ",2019,Mar,0,2,0,1,1,0,1,1,0,5
21,Anonymous,8.9,"I thought the location was very handy for sure. Staff were very friendly. And it seemed very secure as well. The only downside was that they were doing some construction work while I was staying there, but that wasn't a big deal. I did book the place with the idea that I'd be able to use the self-catering kitchen but unfortunately it was under construction and is being replaced with a restaurant/café. So, I had to eat out more than I wanted. But I would still recommend it. I'll go back.",27-Mar-19,"Ireland, ",2019,Mar,1,3,1,1,2,1,1,3,1,5
22,mitch_stevo938519,10,"I stayed here over St Patrick’s weekend, it was an amazing experience and place to stay, it has a huge common area and facilities were clean and modern, would recommend staying here if you come to Dublin. Cheers guys!",Property Reply,"Australia, ",2019,Mar,0,0,0,0,1,0,0,2,0,2
23,jacklynkrause1071,8.9,"A short walk to things in the city center/temple bar but definitely worth it for the cleanliness and quiet at night! The staff was super helpful and attentive with plenty of recommendations. Lots of small details that make traveling a breeze (free luggage lock up, towels in the private room, early check in, breakfast served till 930). Fun things planned if your traveling alone and want to meet people and the communal areas were always full. I would definitely stay again!",16-Mar-19,"USA, ",2019,Mar,0,1,0,0,2,1,0,2,1,9
24,Anonymous,6.3,"Unser Zimmer war gut, die Betten waren bequem und es war sauber. Die Steckdosen und Lampen an den Betten funktionieren (noch) nicht und weder im Bad noch sonstwo gab es Steckdosen, so dass man sich nur im Flur föhnen oder irgendwas laden konnte. Ganz komisches und super nerviges System - an fast jeder Tür muss man seine Karte verwenden, um sie zu öffnen oder einen Kopf drücken, um raus zu kommen. Sonst sehr anonym und generell fehlte es an durchdachten Kleinigkeiten..",Property Reply,"Germany, ",2019,Mar,1,0,2,3,0,2,0,1,5,0
25,katieweber3139077,4.6,"I was put in a room with all men who were a lot older than me, and I did not feel safe, nor did I feel comfortable at all in this environment.",16-Mar-19,"USA, ",2019,Mar,0,0,0,0,1,1,0,1,0,1
26,mattbrn1977322,6.9,Was alright for a one night stay. Good value. Location is a little sketch at night.,Property Reply,"USA, ",2019,Mar,0,1,0,0,1,0,1,1,0,1
27,michaelmills125538,10,The staff where fantastic hostel is being renovated we stayed in the new rooms on level 2 great location 10 minutes to temple bar clean and safe!,12-Mar-19,"Australia, ",2019,Mar,0,0,0,0,2,0,0,3,0,3
28,Anonymous,10,"Best hostel I have stayed in so far! Excellent location, staff are super helpful. Cleanliness beyond belief. Would recommend to anyone looking to rest but also socialize.",Property Reply,"Australia, ",2019,Mar,0,0,0,0,2,0,0,3,0,5
29,Anonymous,9.1,Stayed in a 4 dorm . Was clean and tidy .. plus was having a out door smoking area on our floor. So my partner didnt have to go down stairs. .. only down fall was that they had advertised that they will be closing the communal kitchen shortly... for a restaurant to be established.,01-Mar-19,"Australia, ",2019,Mar,0,1,0,0,2,1,0,1,1,3
30,djlippard289,9.4,It was a great place close to the bus station. The room and the bathroom were spacious. I just hated having to keep pressing the button for water to come out of the shower. Very annoying when you have shampoo in your hair.,Property Reply,"USA, ",2019,Feb,1,0,0,0,0,0,0,0,1,1
31,sophiestrong1677,9.7,"Jacobs Inn was perfect! Great location, easy walk to everything in Dublin. The staff was very kind and made sure my cab arrived on time to get me to the airport. There are two great pubs close by with live music and great food and drinks. The rooftop is very relaxing even on a chilly night. I recommend this hostel to solo travelers or groups!",31-Jan-19,"USA, ",2019,Jan,0,3,0,0,4,1,0,4,1,6
32,Ckbrown,10,"Awesome location in prime area,close to bus/train station as well as city center Police next store,Hostel is huge but has everthing one needs,security great,I believe renovations could change the layout of certain areas ,so that will be interesting once completed.Yes would stay again.",Property Reply,New ,2019,Jan,0,0,0,2,0,0,0,2,0,4
33,alysktyler7008,8.3,Overall I enjoyed my stay at Jacob’s Inn. The location is great and very good price. There was definitely lacking a social atmosphere but might have just been the days I was there. You have to show a piece of paper if you come in after 11pm which seems pointless because you have a card to get to your room. Construction stated at 8am even though it states 11am which wasn’t ideal.,24-Jan-19,"Australia, ",2019,Jan,0,1,0,0,1,1,1,2,2,1
34,Anonymous,9.1,I thought it was a good experience at this hostel. Only downfall I would say seems like a lot of people that stay here are students. Downstairs it seemed very quiet no one interacting which each other but that's not a big deal. Other than that the hostel itself is very great and close to almost everything highly recommend to others!,Property Reply,"Canada, ",2019,Jan,0,3,0,1,2,2,2,3,1,4
35,iamhanna,10,I don't like the mattess.,12-Jan-19,"China, ",2019,Jan,0,0,0,0,0,0,0,0,0,0
36,Anonymous,6,"The reception staff lied to me!
 When I arrived I noticed there was construction going on on the right of the reception.
 I asked at reception ""what time does the work start and is it loud?""
 They replied ""it doesn't start until 10am and there are only painting so there will be no noise"".
 The following morning the construction noise started at 830am and was very very loud!
 I had no choice but to get up because I couldn't sleep, even with airplugs.
 Do not stay here until construction is finished!",Property Reply,"Ireland, ",2019,Jan,0,2,0,0,0,0,0,0,1,1
37,Anonymous,8.3,"It’s a great hostel, but family-friendly. If you are looking for a party hostel, this is not the place. The security is amazing though and the staff is very nice.",08-Jan-19,"USA, ",2019,Jan,0,0,0,0,0,0,0,0,0,0
38,yvonnelacey788371,9.7,"Great Location close to all events, shopping and music.
 I use a Power Wheelchair and found the room Very Comfortable. Was able to move around easily, but I did have trouble with the doors & key combo when I had bags. The door open a bit then moved & door closed w/bag in it. Guests helped w/out my asking which was VERY NICE. Staff very welcoming and helpful. Had a great nights sleep even being close to trains never woke once I was asleep.",Property Reply,"Ireland, ",2019,Jan,0,1,0,0,4,1,1,3,0,4
39,Anonymous,10,"Stayed here loads of times. Always my go to hostel in Dublin. Great staff, great hostel, great location!",04-Jan-19,"USA, ",2019,Jan,0,0,0,0,0,0,0,0,0,0
40,Anonymous,10,Iv travelled a lot of of the best hostels I ever stayed in. The staff are top class professional an very friendly,02-Jan-19,"Ireland, ",2019,Jan,0,2,0,0,1,0,0,3,0,3
41,Anonymous,7.7,"Overall I'd recommend for someone looking for a safe and well-located hostel in Dublin. I stayed in a 12 bed dorm and felt fine. The staff were really helpful too! 
 As a solo traveller, the atmosphere wasn't the best for meeting people. I had read there were to be renovations, but apart from the obvious visual indications of
 work happening I didn't hear any noise or experience any disruptions. The common area and the kitchen is a nice big space and the wifi was good!",28-Nov-18,"Australia, ",2018,Nov,0,1,0,0,3,0,1,5,1,5
42,efinnin1595,8.6,"The location was extremely convenient and made it easy to walk everywhere, even in the rain. What is preventing this from being a 9.0 rating was the other people in the dorm and the cleanliness. There is nothing to be done about noisy, smelly people but the wash rooms definitely could have been cleaned more frequently and the trash taken out of the dorms.",Property Reply,"USA, ",2018,Nov,2,0,1,1,0,2,0,0,3,2
43,Anonymous,7.1,"Very helpful staff, rooms very clean and comfortable. Good location. Parts of the hostel are closed including the main social area as well as the men’s washroom/showers due to construction. No social scene at all for solo travelers in the hostel. I would recommend you book elsewhere until construction is finished as it currently not worth the price in a half open state.",21-Nov-18,"USA, ",2018,Nov,0,1,0,0,3,0,1,4,0,7
44,Anonymous,9.1,"My first hostel and it was surprisingly great. I booked at 12 bed mixed but they put me in a 4 bed, which was totally fine. bed was really comfy, cleans sheets, clean shower in the room. some light noise outside, but with ear plugs and sleep mask i slept soundly. lockers under the beds & safe in the room. biggest issue was there was only 1 outlet in the room. the building felt super secure - every door required your key card. staff was great. bfast very simple but fine. would stay again!",Property Reply,"USA, ",2018,Nov,0,1,0,0,2,0,1,2,1,3
45,kapalladino2541,8.3,"Overall, I would highly recommend to people looking for a clean and secure place to stay in Dublin. However, it was further from the south side of the city than i had thought but it wasn’t a huge issue. Taxis are relatively cheap and the walk is very do-able. Free breakfast is just toast and cereal so don’t get too excited lol. Still a nice offer.",16-Nov-18,"USA, ",2018,Nov,0,2,0,0,3,0,1,3,1,6
46,Anonymous,7.7,All good for 1*night 🌃,Property Reply,"Ireland, ",2018,Nov,0,1,0,0,1,0,1,1,0,1
47,taylorehoover,8,"Solid experience. Way more of a hotel / big group vibe than other hostels I’ve stayed at. I actually stayed here 3 separate times throughout holiday. Each room was different. Older travelers come here which is fine, I’m just used to a younger crowd I suppose. Staff were helpful but stayed behind desk. I wouldn’t recommend for solo travelers looking for other people to socialize with but if you’re just looking for a clean, safe place to crash while in Dublin then this is 100% the place for you.",15-Nov-18,"USA, ",2018,Nov,0,1,0,1,4,2,1,4,1,7
48,miriksoul4427,8,DO NOT use this website. Go to booking.com and book your room over there.,Property Reply,"Netherlands, ",2018,Nov,0,0,0,0,0,0,0,0,0,0
49,Anonymous,8.6,"No mike at the counter from staff but you will get one from your stay! Great location and great atmosphere. 
 It’s central to train stations and the city. Round the corner are some great places to eat.",07-Nov-18,"Australia, ",2018,Nov,0,0,0,0,0,0,0,0,0,1
50,Liamchambers9413,8.6,Snoring in dormitories is a problem,Property Reply,"Ireland, ",2018,Nov,0,0,0,1,0,1,0,0,1,0
51,dalmmorg6450,8.3,"I only stayed here one night and really just used it to sleep. However, the atmosphere seemed really fun and the staff was very friends. I would recommend staying here if you are looking to meet new people and have a comfortable sleep.",10-Oct-18,"USA, ",2018,Oct,0,1,0,0,1,0,0,1,0,2
52,bndubin,9.4,"This place was really easy to find. The check in process was quick and the staff was very helpful. The bathrooms were always clean and very nice. The timed shower thing was a little annoying and I didn’t like that I had no control over the water temperature, but I got used to it. There are a ton of cute places nearby, though it is a bit of a walk to the Temple Bar area of Dublin. I highly suggest joining in on the Bar Crawl. Overall my stay here was great and I would book it again!",Property Reply,"USA, ",2018,Oct,1,0,1,0,2,0,0,3,2,3
53,rayvinrhodes,7.7,"Great security. Okay location and staff. Clean rooms and bathrooms. Hard beds, bring your own pillow. Quite loud. Pretty good price on weekdays but overly priced for the weekend",08-Oct-18,"USA, ",2018,Oct,0,2,0,0,3,0,1,3,0,4
54,braginskyj5276,10,Lucia was very friendly and helpful. Nice lounge area. Good location. I'd stay there again.,Property Reply,"USA, ",2018,Oct,0,2,0,0,3,0,1,3,1,3
55,alexanderberx4549,8.6,"Nice place to stay, really friendly staff!",05-Oct-18,"Belgium, ",2018,Oct,0,1,0,0,1,0,0,1,0,1
56,seamus_kelly6840,5.1,"Bed was hard and uncomfortable, excessive noise disrupted my sleep, for what I got I feel I paid double for half",Property Reply,"Ireland, ",2018,Oct,0,0,0,0,0,0,0,0,2,0
57,michelehenn8935,9.4,"A great location and very secure, this is a great hostel with great storage and comfortable beds and en suite bathrooms are great!",04-Oct-18,"USA, ",2018,Oct,0,0,0,0,0,0,0,0,0,0
58,Anonymous,10,"this was definitely my favorite hostel. it was clean, the staff is nice, very secure. in room showers, free bfast, and lots to do. the pubcrawl deff helped me meet many new people. as a solo backpacker i always look forward to meeting new people and everyone here was super awesome, the vibe is set right from the beginning as you enter.",Property Reply,"USA, ",2018,Oct,0,0,0,0,2,0,0,2,0,3
59,Anonymous,4.6,The location and security were good but that was about it. I would not recommend staying here as it was one of the nastiest hostels I’ve stayed in. I don’t believe the rooms get cleaned very often and there was a bad smell just about everywhere in the building. Also the showers are the kind where you have to push a button and it stays on for 10 seconds and then you have to keep pushing it the whole shower. Not many cheap hostels in Dublin but this one was still not worth what we paid,04-Oct-18,"USA, ",2018,Oct,2,1,2,1,2,1,1,3,3,5
60,Anonymous,7.1,"Stayed three nights and EVRY SINGLE NIGHT someone else was in my bed and had to be moved to different rooms. Ended up losing clothes, chargers, and a tablet because of the shuffling and people moving my things. Breakfast is bread with butter and jam. Area around is about 15 minute walk to the center but it's great to have the express airport bus at the end of the corner. Wish my experience would have been better but three nights in a row is inexcusable.",Property Reply,"USA, ",2018,Oct,3,1,1,0,0,2,0,1,3,3
61,MissX,7.7,My second stay here- the beds are big with privacy curtains and plug sockets / USB charger sockets attached to your own individual bed. However the hostel was large and felt impersonal with guests rarely mingling. Breakfast only served until 9.30am. Why? Cost of hostel was also very high at €55 a night. Staff were all from overseas and not the friendly Irish ones I met last time I stayed (back in August 2016). Walking tour and pub crawl was good. Highly recommend Wild Wicklow Mountains tour.,22-Sep-18,"England, ",2018,Sep,0,3,1,0,2,0,2,3,2,6
62,victoriaakelly332,10,"Great stay! Shuttles to and from the airport, even when the 747 isn't running early in the morning (which is super helpful). Will be back!",Property Reply,"USA, ",2018,Sep,0,1,0,0,1,0,0,1,0,1
63,hdazilio,9.1,It’s ok.,20-Sep-18,"Brazil, ",2018,Sep,0,0,0,0,0,0,0,0,0,0
64,Thomasmcentaggart8261,5.7,Staff need to smile at the customers who are paying their wages the doom and gloom coming from staff isnt exactly a warm welcome certainly no ( cead mile failte ) was received and the mattress above me on the lower bunk I slept on had dried urine stains on it evidence the mattress was turned over not thrown out like it should have been i have stayed here numerous times i will not be giving my hard earned money no more to this establishment,Property Reply,"England, ",2018,Sep,1,2,0,1,3,2,2,2,3,5
65,j_-w1579,8.3,"It was okay. I have nothing bad to say about it - but there was also nothing super special about it. It was clean and I always felt safe!
 I guess I am comparing it with my first experience of a hostel in Portugal whereby,when staff weren't working at the desk, they took the time to talk to the guests, get to know them and etc. Although the staff here were nice, I didn't feel they were approachable. I was travelling alone and sometimes it is good for staff to be a little friendly to new guests.",18-Sep-18,"England, ",2018,Sep,1,3,1,1,5,1,2,4,1,7
66,erinbox,9.7,This was my first stay in a hostel. I highly recommend them! It is very clean- my room had an on suite shower/ toilet which was really nice. The beds have curtains for privacy and each bed had a USB port to charge phones etc a light and an outlet(European you’ll need a converter if you’re from the states like me). Under each set of bunk beds was a cage to lock your stuff up—- you’ll need to bring a lock. Staff was super friendly and happy to answer questions/ offer recommendations.,17-Sep-18,"USA, ",2018,Sep,0,2,1,0,3,1,0,4,2,5
67,meljshaw,10,"I will always stay here every time I’m in Dublin. Amazing staff, great facilities. Love it.",Property Reply,"USA, ",2018,Sep,0,1,0,0,1,0,0,0,0,1
68,Anonymous,8,"I did""t stay in Jacob:""s Hostel. I booked the hostel but Jacob's cancel the booking. I want. my deposit returned please.",Property Reply,"Ireland, ",2018,Sep,0,0,0,0,0,1,0,0,1,0
69,Anonymous,8.3,"All in all this is a decent place to rest your head while in Dublin. Pros: Curtains on the bed add a nice bit of privacy and facilities were clean. Large lounging area with TV, etc. Cons: might be time for an upgrade on the linens, my fitted sheet was very wrinkled and didn't quite stretch the full width of the matress. Breakfast was basic, just cereal and toast.",Property Reply,"USA, ",2018,Sep,0,1,0,0,2,1,0,1,0,6
70,Anonymous,7.4,"The rooms in the hostel were clean and bright. En suite bathrooms were very clean as well. No paper towels available, though! Quiet atmosphere, didn’t meet anybody. Breakfast was free. Towels for hire only.. felt like everything was for an additional fee- locks, ear plugs, towels.... On the website they advertise the hostel as “if it were any closer we’d be in the River Liffey itself!”, but it’s a solid 10-15 minute walk to the River Liffey and it does take time to get to the city center.",Property Reply,"USA, ",2018,Sep,1,2,0,0,2,1,0,3,1,6
71,Abhinav1989,8,"I arrived at the hostel on 11 September but my booking was from 9 to 17. They cancelled my reservation due to no show. This was shocking for me since I paid for the entire period mentioned. On requesting the staff to give me a bed, they gave me bed for 2 days, i.e from 11 to 13. To go through such an experience in a foreign country is very difficult and that too when you are a solo traveler. I would thank them(don't think I should since I paid for the time period) for letting me stay eventually.",09-Sep-18,"India, ",2018,Sep,0,1,0,1,0,0,0,1,1,0
72,mikeee453117,5.7,You need your maintenance crew to fix things that are leaking or broke. In room 208 the left sink fixture leaked and the right one had a broken stopper. The toilet seat was loose. Also your staff might want to think about allowing really drunk guest to stay at your facility and ruining a nights stay. They checked in a guest after midnight into 208 and he came in fell down knocking the table down and waking everyone up. He didn't pickup the things he knockoff the table. Michael Dickson,Property Reply,"USA, ",2018,Sep,1,0,1,2,0,3,0,2,4,1
73,Anonymous,10,"Good little hostel, not a far walk from city centre, staff were nice and the bed was comfy, what more can you ask for for £18 a night!",05-Sep-18,"England, ",2018,Sep,0,1,0,0,1,0,1,1,0,1
74,crownjewel,8.9,"Overall, the hostel was pretty good. I loved the privacy curtains on the beds, it was well located, and almost too secure (had to use the key card about 3-4 different times to get anywhere). My biggest issue was noise. The DART train ran right outside my room, so the noise from that was constant. There were also some VERY loud groups while I was there. I loved that each bed had its own individual light and USB outlets, so I didn’t even need to worry about using my adapter.",Property Reply,"USA, ",2018,Sep,0,3,0,2,2,1,1,3,2,3
